CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1628386,Jarrett Allen,1610612739,CLE,C,27.0,49,49,0.414,3.04,5.35,0.569,0.649,-0.08
1627783,Pascal Siakam,1610612754,IND,F,31.0,52,51,0.388,3.44,5.35,0.644,0.639,0.005
1630695,Micah Potter,1610612754,IND,C,27.0,26,26,0.457,3.38,5.31,0.638,0.634,0.004
1628401,Derrick White,1610612738,BOS,G,31.0,57,57,0.362,2.79,5.3,0.526,0.617,-0.09
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,55,54,0.402,3.31,5.22,0.634,0.629,0.005
1642276,Kel'el Ware,1610612748,MIA,C,21.0,56,55,0.431,3.23,5.18,0.624,0.653,-0.029
1629674,Neemias Queta,1610612738,BOS,C,26.0,55,55,0.412,2.73,5.18,0.526,0.636,-0.109
1630581,Josh Giddey,1610612741,CHI,G,23.0,39,39,0.383,3.33,5.18,0.644,0.63,0.014
1641750,Ryan Kalkbrenner,1610612766,CHA,C,24.0,48,45,0.394,2.85,5.17,0.552,0.643,-0.091
1629639,Tyler Herro,1610612748,MIA,G,26.0,15,15,0.405,2.93,5.13,0.571,0.605,-0.034
1641739,Toumani Camara,1610612757,POR,F,25.0,60,59,0.359,3.48,5.12,0.681,0.632,0.048
1628404,Josh Hart,1610612752,NYK,G,30.0,48,47,0.354,3.21,5.02,0.639,0.638,0.001
1630700,Dyson Daniels,1610612737,ATL,G,22.0,58,58,0.349,2.93,5.0,0.586,0.626,-0.04
1641706,Brandon Miller,1610612766,CHA,F,23.0,43,41,0.4,2.84,5.0,0.567,0.63,-0.062
1631212,Peyton Watson,1610612743,DEN,G,23.0,49,47,0.367,3.12,4.96,0.63,0.632,-0.003
1631095,Jabari Smith Jr.,1610612745,HOU,F,22.0,57,57,0.373,2.79,4.96,0.562,0.627,-0.065
1629655,Daniel Gafford,1610612742,DAL,F-C,27.0,42,42,0.398,2.67,4.95,0.538,0.652,-0.113
1641710,Anthony Black,1610612753,ORL,G,22.0,58,57,0.368,3.21,4.91,0.653,0.623,0.029
1631105,Jalen Duren,1610612765,DET,C,22.0,48,48,0.391,2.85,4.85,0.588,0.641,-0.053
1627750,Jamal Murray,1610612743,DEN,G,29.0,55,54,0.338,3.38,4.85,0.697,0.626,0.071
203994,Jusuf Nurkić,1610612762,UTA,C,31.0,41,41,0.357,2.93,4.85,0.603,0.655,-0.052
1630595,Cade Cunningham,1610612765,DET,G,24.0,52,50,0.348,2.63,4.83,0.546,0.621,-0.075
1630166,Deni Avdija,1610612757,POR,F,25.0,48,47,0.383,2.88,4.81,0.597,0.626,-0.029
201935,James Harden,1610612739,CLE,G,36.0,51,51,0.37,3.2,4.78,0.668,0.631,0.037
1631222,Jake LaRavia,1610612747,LAL,F,24.0,58,57,0.388,3.12,4.72,0.661,0.628,0.032
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,52,52,0.344,2.92,4.71,0.62,0.637,-0.017
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,56,54,0.362,2.79,4.71,0.591,0.647,-0.056
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,59,55,0.352,2.59,4.68,0.554,0.637,-0.083
203500,Steven Adams,1610612745,HOU,C,32.0,32,32,0.378,3.03,4.66,0.651,0.645,0.006
1629008,Michael Porter Jr.,1610612751,BKN,F,27.0,47,46,0.436,3.06,4.64,0.661,0.638,0.022
203110,Draymond Green,1610612744,GSW,F,35.0,48,48,0.373,2.6,4.63,0.563,0.641,-0.078
1642271,Kyle Filipowski,1610612762,UTA,C,22.0,58,56,0.407,3.16,4.6,0.685,0.637,0.049
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,60,59,0.399,3.18,4.58,0.695,0.639,0.055
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,25.0,55,54,0.353,2.73,4.58,0.595,0.628,-0.033
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27.0,50,49,0.377,2.52,4.58,0.55,0.629,-0.079
1628978,Donte DiVincenzo,1610612750,MIN,G,29.0,60,59,0.426,2.77,4.57,0.606,0.626,-0.02
1630559,Austin Reaves,1610612747,LAL,G,27.0,32,31,0.341,3.06,4.56,0.671,0.632,0.039
1631108,Max Christie,1610612742,DAL,G,23.0,54,53,0.371,2.93,4.56,0.642,0.63,0.012
1629628,RJ Barrett,1610612761,TOR,F-G,25.0,35,32,0.361,2.6,4.54,0.572,0.634,-0.062
1642928,Dylan Cardwell,1610612758,SAC,C,24.0,29,28,0.424,2.45,4.52,0.542,0.633,-0.091
1630591,Jalen Suggs,1610612753,ORL,G,24.0,35,34,0.407,2.8,4.51,0.62,0.633,-0.013
1630572,Sandro Mamukelashvili,1610612761,TOR,F-C,26.0,57,56,0.403,2.68,4.49,0.598,0.632,-0.034
1641718,Keyonte George,1610612762,UTA,G,22.0,48,46,0.342,3.52,4.48,0.786,0.636,0.15
1631157,Ryan Rollins,1610612749,MIL,G,23.0,56,56,0.342,2.63,4.48,0.586,0.618,-0.032
